Id,SalePrice
1461,117514.0296119281
1462,165263.7603837555
1463,164506.2748986339
1464,184517.05677507317
1465,206389.43113799617
1466,170061.7654471079
1467,161342.0340676991
1468,162206.47697952835
1469,202435.77287026035
1470,107453.52397891827
1471,204172.32405673832
1472,115859.7089359925
1473,111237.34321231517
1474,162679.0449995619
1475,136077.40824256773
1476,353631.5786422399
1477,251502.88551900903
1478,301977.3663860789
1479,298773.47630749375
1480,416061.55711264897
1481,286685.0849161161
1482,221354.3571558755
1483,189514.67434909483
1484,187616.47571947868
1485,174342.39033357025
1486,207548.48785605966
1487,329844.1913808115
1488,254052.26544331136
1489,201640.93542742127
1490,234264.98306318227
1491,204305.59738780322
1492,100005.62271624367
1493,176766.38849465887
1494,272237.001091132
1495,269500.67590762966
1496,248151.82991914384
1497,208246.0381483786
1498,171954.12370622097
1499,172188.9733314056
1500,161426.37973336826
1501,177701.11835103555
1502,163035.5733168903
1503,285799.32944183133
1504,232665.6860075654
1505,219525.5860551403
1506,205158.07992617713
1507,245785.49378498306
1508,186618.06838375024
1509,168268.02779172748
1510,147914.9544416632
1511,144506.5515115642
1512,172327.4098027508
1513,159265.2481156143
1514,169219.4275015041
1515,211404.5508302863
1516,145456.69097292074
1517,160743.71732448254
1518,168631.19778828986
1519,221016.44494464566
1520,128114.57312198049
1521,133702.7486047735
1522,177032.65916516073
1523,112133.33425656917
1524,120586.64438477883
1525,110950.38065612392
1526,112992.19275955477
1527,98976.94069202375
1528,140748.67613177525
1529,139521.54661676113
1530,177192.02322749025
1531,117685.40080692313
1532,82788.75963505238
1533,162894.5304914811
1534,144188.12917554617
1535,165281.5095568096
1536,118009.91793758702
1537,64438.43723679066
1538,176243.7926927095
1539,198329.31352245872
1540,149233.62136891234
1541,153731.0721482391
1542,155506.47334969352
1543,210255.31526910566
1544,75247.87959327838
1545,112328.3647790794
1546,128619.47513779205
1547,134264.262464098
1548,137823.45249729388
1549,111081.2801127038
1550,129094.67788976955
1551,122270.9685639951
1552,144359.92978650017
1553,146890.68453764665
1554,127092.7922712671
1555,159545.91981216252
1556,98915.54337409629
1557,138427.22995620398
1558,100827.77036998581
1559,111675.94461797019
1560,127876.84958329056
1561,180699.77953123674
1562,130176.07340955015
1563,108037.58427832065
1564,167736.93573058164
1565,142411.10675111355
1566,214031.06272704073
1567,73690.24683318111
1568,204666.83655953436
1569,125563.63719064345
1570,139893.88803032055
1571,123927.24454409292
1572,139646.8664131086
1573,233818.32138039634
1574,142186.07104215998
1575,215697.54091365385
1576,217462.5668463881
1577,200824.42051788382
1578,128817.54367407296
1579,138885.98456860593
1580,192975.59997497936
1581,137585.50712136534
1582,120019.12071990337
1583,285381.55816890195
1584,234266.50253847224
1585,156107.20407088663
1586,46096.82295907743
1587,95817.4882406299
1588,138331.89235860336
1589,111487.44928975777
1590,144416.64237999037
1591,87361.79835600095
1592,132594.53643601784
1593,113750.31090987624
1594,136432.02901211864
